Variable_1,Variable_2,Domain_1,Domain_2,Domain_Pair,Analysis_Dataset,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Minimum_Absolute_Association,Pearson_Strength,Spearman_Strength,Direction_Consistent,Pearson_q_BH,Spearman_q_BH,Pearson_FDR_Significant,Spearman_FDR_Significant,Both_FDR_Significant,Association_Class
Richness,CWM_WD,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FUNCTIONAL_COMPOSITION × TAXONOMIC_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.6123705990112027,1.4207970521484524e-10,0.5871149528752658,1.1864531906671633e-09,0.5871149528752658,MODERATE,MODERATE,True,5.114869387734429e-09,4.2712314864017877e-08,True,True,True,ROBUST_MODERATE
Pielou,FEve,TAXONOMIC_DIVERSITY,FUNCTIONAL_DIVERSITY,FUNCTIONAL_DIVERSITY × TAXONOMIC_DIVERSITY,FULL_INTEGRATED_BACKBONE,89,0.4924107094807892,9.51528185819859e-07,0.47742732169960117,2.2372020237821153e-06,0.47742732169960117,WEAK_TO_MODERATE,WEAK_TO_MODERATE,True,1.7127507344757464e-05,4.0269636428078075e-05,True,True,True,ROBUST_WEAK_TO_MODERATE
CWM_Log10_Seed_Mass,FDis,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION × FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,-0.40647887674457167,7.027178747886663e-05,-0.40366798783715774,7.97124330670242e-05,0.40366798783715774,WEAK_TO_MODERATE,WEAK_TO_MODERATE,True,0.0006324460873097996,0.0009565491968042904,True,True,True,ROBUST_WEAK_TO_MODERATE
Richness,CWM_SLA,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FUNCTIONAL_COMPOSITION × TAXONOMIC_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,-0.41807098651882135,4.1285046278820845e-05,-0.3839051309058249,0.00018746570609750357,0.3839051309058249,WEAK_TO_MODERATE,WEAK_TO_MODERATE,True,0.0004954205553458501,0.001687191354877532,True,True,True,ROBUST_WEAK_TO_MODERATE
Pielou,FDis,TAXONOMIC_DIVERSITY,FUNCTIONAL_DIVERSITY,FUNCTIONAL_DIVERSITY × TAXONOMIC_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.3862830287647102,0.00016961467404246277,0.36712768795085654,0.0003717960737467559,0.36712768795085654,WEAK_TO_MODERATE,WEAK_TO_MODERATE,True,0.0012212256531057319,0.0026769317309766425,True,True,True,ROBUST_WEAK_TO_MODERATE
CWM_Log10_Seed_Mass,Estimated_Mean_Height,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,FUNCTIONAL_COMPOSITION × STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,-0.37957695315363776,0.004642758539177774,-0.3471316943015056,0.010119657332723818,0.3471316943015056,WEAK_TO_MODERATE,WEAK_TO_MODERATE,True,0.02387704391577141,0.03643076639780575,True,True,True,ROBUST_WEAK_TO_MODERATE
Pielou,Estimated_Mean_DBH,TAXONOMIC_DIVERSITY,STRUCTURAL_ECOLOGY,STRUCTURAL_ECOLOGY × TAXONOMIC_DIVERSITY,PRIMARY_ASSOCIATION_SET,54,0.33286219247355825,0.013918084987185067,0.37270301858989524,0.005512013979674238,0.33286219247355825,WEAK_TO_MODERATE,WEAK_TO_MODERATE,True,0.0626313824423328,0.024804062908534073,False,True,False,ONE_METHOD_FDR_SUPPORTED
CWM_Max_Height_m,FEve,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION × FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,89,0.3062202502938679,0.0035172769785559482,0.29971569144861165,0.0043247423993899555,0.29971569144861165,WEAK_TO_MODERATE,WEAK,True,0.02110366187133569,0.02224153233971977,True,True,True,ROBUST_WEAK
Pielou,Estimated_Mean_Height,TAXONOMIC_DIVERSITY,STRUCTURAL_ECOLOGY,STRUCTURAL_ECOLOGY × TAXONOMIC_DIVERSITY,PRIMARY_ASSOCIATION_SET,54,0.2978913152771118,0.02868725900325408,0.367670612856071,0.006235772463170384,0.2978913152771118,WEAK,WEAK_TO_MODERATE,True,0.09388557491974062,0.024943089852681535,False,True,False,ONE_METHOD_FDR_SUPPORTED
Pielou,CWM_SLA,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FUNCTIONAL_COMPOSITION × TAXONOMIC_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.21574794297838326,0.04112445462735736,0.3369144664062968,0.0011660458361311221,0.21574794297838326,WEAK,WEAK_TO_MODERATE,True,0.12337336388207208,0.006996275016786732,False,True,False,ONE_METHOD_FDR_SUPPORTED
